Customer ID,Region,Sales Volume,Customer Satisfaction Score,Returned,Salesperson Experience (Years),Discount Given (%)
d2c1701e-6bd4-4ff7-9ed7-154dfd2de55b,West,52891.16,3.6,Yes,10,12.6
d6d1e7bc-0dd6-4d43-bd18-d91d5a5cbc6d,East,62304.29,1.3,No,10,17.5
5da721ec-8e97-44a7-9823-c5b7b13bc1e3,East,49713.39,1.6,Yes,6,14.7
278a5ff5-218d-4a27-8fa4-baa719bd0b5e,East,62517.15,4.6,Yes,1,16.1
7f8afde8-d1a6-44b9-ae74-06f18bcc02c2,North,29042.04,3.4,Yes,4,5.6
b2a0b559-d280-4b9f-a0b3-7107bc60004d,East,56575.22,1.0,Yes,10,3.5
4b355e1f-46c4-4748-aa43-6f116db5ef47,East,50696.38,1.4,No,6,15.0
082c1008-eeb5-48bb-a049-1b35a2b9ce89,North,47607.94,3.7,No,6,16.1
0706352c-1852-4b06-8742-84bfdb80011b,South,50734.09,1.0,No,5,19.8
e78bc5bf-8665-4cb4-8e30-174cfca9f46e,East,34099.45,1.6,No,1,8.3
e98de541-15ae-4ab7-abbc-41b2303db621,North,48242.62,3.2,Yes,8,7.4
a98f1a65-bf00-4c76-b9f9-6bc0b1f8877b,East,52856.9,3.8,Yes,5,15.5
05f4bf98-9227-47fa-aa17-f1c0fe237444,East,61823.15,3.6,Yes,5,6.8
7a30e597-b00f-43f4-9af4-437f6ad96c9f,West,45853.84,1.9,No,7,18.6
b4dadbd0-54e1-4e84-834a-c0c7601adaa7,East,43532.05,3.8,Yes,4,17.2
284fd6ac-9c46-4031-b684-d91ad93733d6,North,45985.94,1.9,Yes,6,8.6
e0e018df-d0aa-4f1c-8b95-bf0d11170152,North,57323.22,2.3,Yes,4,15.0
3f8291e3-23e3-4a1f-9d83-051d31933d98,North,52630.01,4.0,Yes,3,15.1
6918470a-d42b-46fe-bccf-00d4edfc5000,North,45761.92,3.6,Yes,7,2.1
0e3d0963-9ef6-4534-8b34-d9b1e567b108,West,54106.14,4.4,Yes,8,18.1
20ccf463-b795-47f7-be8e-5df4882efa59,South,50776.62,3.6,Yes,4,10.1
79fa2b31-5152-483a-9c5e-9d22a94f61e7,South,57749.16,3.3,No,2,16.5
caf5849f-2e98-45cb-848a-8177309626f9,South,44383.58,1.4,No,10,6.4
e1138170-e5cb-42a8-9233-11732fdd8122,West,47378.7,2.5,Yes,3,17.9
37368d79-307b-4e29-a7ee-a147662451e8,North,46863.13,2.1,Yes,1,7.8
cba33407-58a4-465c-b113-af138d7b5a8c,West,38291.88,2.0,No,8,0.2
747935a8-8587-44b6-a847-daa97aa94c2e,South,52368.96,4.9,No,3,18.1
bd76c5b2-e428-42b8-af22-f6ce6cfe1156,South,52088.44,2.6,No,10,1.8
0fbf1ee5-94d0-4f13-92e1-2ee7ed387e2f,North,50040.91,4.6,Yes,7,6.4
64bfa6e2-e6b5-42db-a550-7a47f2b943d1,West,48123.3,3.5,Yes,10,19.0
